X,Y,MAPSOURCE,SOURCEDATE,EDITDATE,MAPMETHOD,QUADNAME,UNITNAME,COUNTY,STATE,X_COORD,Y_COORD,LAT,LON,WATERSHED,STREAMNAME,ELEVATION,YEAR,NOTES,COORD_UNITS,COORD_SYSTEM,DATUM,UTM_ZONE,MANAGEMENTZONE,PARKDISTRICT,CREATEDATE,UNITCODE,VEG_CLASS,LANDFORM,GlobalID,LOC_NAME,LOC_ID,TRAIL,ROAD,VALID_RESULT,DDMLat,DDMLon,DMSLat,DMSLon,Carto_Type,FEATURE_ID,MTFCC,IMARS_NAME,IMARS_ID,RVP_NAME,PUBLICDISPLAY,DATAACCESS,REGIONCODE,CREATEUSER,EDITUSER,XYACCURACY,ZACCURACY,OBJECTID
-83.1735193,35.61385275,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,303140.36,3943294.65,35.61384587,-83.17351534,Upper Cataloochee Creek,Falling Rock Creek,5647,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",cfd217a0-31b0-46c6-aaab-b5149e22cbab,Spruce Mountain,,Spruce Mountain Trail,Balsam Mountain Road,Certified,35° 36.831' N,83° 10.411' W,"35° 36' 49.845"" N","83° 10' 24.655"" W",Summit,1027464,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,1
-83.18592073,35.59870991,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Swain,North Carolina,301979.63,3941639.7,35.59870303,-83.18591677,Straight Fork Raven Fork,Round Bottom Creek,5892.723633,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",76dfb77d-1390-454a-836f-a4e9e16751f6,Chiltoes Mountain,,Spruce Mountain Trail,Balsam Mountain Road,Certified,35° 35.922' N,83° 11.155' W,"35° 35' 55.331"" N","83° 11' 9.300"" W",Summit,1019661,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,2
-83.14684674,35.60977029,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,305546.63,3942788.7,35.60976341,-83.14684279,Upper Cataloochee Creek,,4302.683594,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",6b302718-dc3a-4e63-8952-82e46c9e9c89,Prettyland Mountain,,Rough Fork Trail,Cataloochee Entrance Road,Certified,35° 36.586' N,83° 8.811' W,"35° 36' 35.148"" N","83° 8' 48.634"" W",Summit,1022074,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,3
-83.32763165,35.50752749,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,288900.86,3931818.81,35.50752063,-83.32762765,Lower Oconaluftee River,,1160,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",c1c64212-dbb7-4f1a-aa91-af9ade4041fa,Fox Knob,,Mingus Creek Trail,Newfound Gap Road South,Certified,35° 30.451' N,83° 19.658' W,"35° 30' 27.074"" N","83° 19' 39.460"" W",Summit,985358,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,4
-83.13894869,35.55025823,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,306118.65,3936171.32,35.55025136,-83.13894475,Upper Cataloochee Creek,,5631.070801,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",7945a332-65c6-472a-8a31-9754d4fa3f20,Buck Knob,,Hemphill Bald Trail,Heintooga Ridge Road,Certified,35° 33.015' N,83° 8.337' W,"35° 33' 0.905"" N","83° 8' 20.201"" W",Summit,1019366,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,5
-83.15348633,35.55007409,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,304800.26,3936179.61,35.55006722,-83.15348238,Upper Johnathans Creek,Mashie Stomp Creek,5468.361328,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",04c95c76-0c9a-400b-a0e0-bc027c55b87d,Strawberry Knob,,Hemphill Bald Trail,Heintooga Ridge Road,Certified,35° 33.004' N,83° 9.209' W,"35° 33' 0.242"" N","83° 9' 12.537"" W",Summit,1022814,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,6
-83.1566827,35.55178505,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,304514.64,3936375.75,35.55177818,-83.15667875,Upper Johnathans Creek,Mashie Stomp Creek,5511.287598,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",789178ca-83e9-43c5-b763-977799d0b6ac,Whim Knob,,Hemphill Bald Trail,Heintooga Ridge Road,Certified,35° 33.107' N,83° 9.401' W,"35° 33' 6.401"" N","83° 9' 24.044"" W",Summit,997116,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,7
-83.12608791,35.55285139,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,307290.78,3936433.74,35.55284452,-83.12608397,Upper Cataloochee Creek,Carpenter Branch,5514.799805,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",e60b543d-b72a-4ab4-9a53-d4de31ecfbed,Sheepback Knob,,Hemphill Bald Trail,Heintooga Ridge Road,Certified,35° 33.171' N,83° 7.565' W,"35° 33' 10.240"" N","83° 7' 33.902"" W",Summit,1022580,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,8
-83.1809836,35.55538507,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Swain,North Carolina,302320.46,3936823.62,35.5553782,-83.18097965,Lower Raven Fork,Flat Creek,1603,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",b93bbb63-6da4-4076-838d-1ded6d0a1dfe,Heintooga Bald,,Flat Creek Trail,Balsam Mountain Campground Road,Certified,35° 33.323' N,83° 10.859' W,"35° 33' 19.362"" N","83° 10' 51.527"" W",Summit,986598,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,9
-83.20209558,35.55760696,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Swain,North Carolina,300412.12,3937112.69,35.5576001,-83.20209161,Lower Raven Fork,Heintooga Creek,1232,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",f636aa54-cc4d-4fce-856c-a5fce7e46d18,Locust Knob,,Flat Creek Trail,Heintooga Ridge Road,Certified,35° 33.456' N,83° 12.125' W,"35° 33' 27.360"" N","83° 12' 7.530"" W",Summit,988849,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,10
